2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.284, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.284, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.285, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.285, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.286, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.286, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.287, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.287, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.288, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.288, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.289, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28/dir.mdtest.0.289, nil, 0 us, 0, 8391058
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.290, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.290, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.291, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.291, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.292, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.292, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44274, ltptest, OpMetaDeleteDentry, dir.mdtest.0.293, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.293, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44250, ltptest, OpMetaDeleteDentry, dir.mdtest.0.294, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.294, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44268, ltptest, OpMetaDeleteDentry, dir.mdtest.0.295, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.295, nil, 0 us, 0, 8391059
2023-09-27 20:36:24 CST, 172.16.1.101:44286, ltptest, OpMetaDeleteDentry, dir.mdtest.0.296, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29/dir.mdtest.0.296, nil, 0 us, 0, 8391059
